TERYT;PROVINCE;NAME;REG_VOTERS;VOTES;VOTES_SPOIL;V_KO;V_LEWICA;V_POLEXIT;V_JEDN;V_PIS;V_WIOSNA;V_KORWIN;V_KUKIZ;V_GWIA
20101;Dolnoslaskie;m. Boles³awiec;30273;13638;90;6408;154;;;4875;892;725;494;
20102;Dolnoslaskie;gm. Boles³awiec;11166;4397;31;1536;46;;;2060;237;271;216;
20103;Dolnoslaskie;gm. Gromadka;4376;1612;32;454;17;;;881;76;91;61;
20104;Dolnoslaskie;gm. Nowogrodziec;11854;3923;61;980;53;;;2236;197;225;171;
20105;Dolnoslaskie;gm. Osiecznica;5369;1856;36;614;44;;;797;131;135;99;
20106;Dolnoslaskie;gm. Warta Boles³awiecka;6725;2337;20;709;33;;;1201;140;131;103;
20201;Dolnoslaskie;m. Bielawa;24226;9668;71;3975;125;;;4027;657;460;353;
20202;Dolnoslaskie;m. Dzier¿oniów;26216;11989;100;5261;145;;;4660;834;592;397;
20203;Dolnoslaskie;m. Pieszyce;7572;2858;27;1004;36;;;1323;205;165;98;
20204;Dolnoslaskie;m. Pi³awa Górna;5039;1875;11;585;29;;;940;117;127;66;
20205;Dolnoslaskie;gm. Dzier¿oniów;7454;3004;45;891;38;;;1604;172;119;135;
20206;Dolnoslaskie;gm. £agiewniki;6018;2259;22;616;21;;;1283;103;116;98;
20207;Dolnoslaskie;gm. Niemcza;4482;1555;19;552;23;;;766;82;63;50;
20301;Dolnoslaskie;m. G³ogów;52081;23833;162;9926;340;;;9984;1462;1014;945;
20302;Dolnoslaskie;gm. G³ogów;5325;2342;18;794;29;;;1138;150;98;115;
20303;Dolnoslaskie;gm. Jerzmanowa;3885;1791;11;697;28;;;773;118;88;76;
20304;Dolnoslaskie;gm. Kotla;3412;1195;19;310;20;;;662;81;47;56;
20305;Dolnoslaskie;gm. Pêc³aw;1745;630;18;128;12;;;417;12;23;20;
20306;Dolnoslaskie;gm. ¯ukowice;2707;954;17;259;13;;;496;61;58;50;
20401;Dolnoslaskie;gm. Góra;15662;5400;49;2020;68;;;2548;306;211;198;
20402;Dolnoslaskie;gm. Jemielno;2426;762;10;199;10;;;443;36;37;27;
20403;Dolnoslaskie;gm. Niechlów;3841;1215;23;288;17;;;756;43;50;38;
20404;Dolnoslaskie;gm. W¹sosz;5801;1907;36;586;29;;;947;146;72;91;
20501;Dolnoslaskie;m. Jawor;18570;7896;55;3079;93;;;3529;456;375;309;
20502;Dolnoslaskie;gm. Bolków;8369;3036;56;1104;36;;;1342;228;136;134;
20503;Dolnoslaskie;gm. Mêcinka;3957;1462;14;378;12;;;846;83;68;61;
20504;Dolnoslaskie;gm. Mœciwojów;3247;1218;17;411;20;;;606;84;44;36;
20505;Dolnoslaskie;gm. Paszowice;3222;1249;14;423;13;;;605;64;67;63;
20506;Dolnoslaskie;gm. W¹dro¿e Wielkie;3241;1173;12;405;10;;;610;53;36;47;
20601;Dolnoslaskie;m. Karpacz;4291;2079;18;1195;33;;;530;153;100;50;
20602;Dolnoslaskie;m. Kowary;8508;3384;30;1619;95;;;1102;259;169;110;
20603;Dolnoslaskie;m. Piechowice;4989;2148;17;1048;27;;;684;167;127;78;
20604;Dolnoslaskie;m. Szklarska Porêba;5226;2410;26;1187;30;;;787;198;87;95;
20605;Dolnoslaskie;gm. Janowice Wielkie;3438;1395;17;672;19;;;457;107;73;50;
20606;Dolnoslaskie;gm. Je¿ów Sudecki;5785;2534;29;1302;33;;;739;218;124;89;
20607;Dolnoslaskie;gm. Mys³akowice;7999;3338;36;1517;85;;;1192;259;137;112;
20608;Dolnoslaskie;gm. Podgórzyn;6544;2729;30;1338;95;;;869;199;118;80;
20609;Dolnoslaskie;gm. Stara Kamienica;4197;1534;24;630;23;;;575;157;70;55;
20701;Dolnoslaskie;m. Kamienna Góra;15590;6197;51;2772;88;;;2451;401;244;190;
20702;Dolnoslaskie;gm. Kamienna Góra;6988;2728;34;1037;53;;;1235;138;99;132;
20703;Dolnoslaskie;gm. Lubawka;8850;3416;37;1487;40;;;1298;291;127;136;
20704;Dolnoslaskie;gm. Marciszów;3622;1229;8;466;16;;;582;51;62;44;
20801;Dolnoslaskie;m. Duszniki-Zdrój;4004;1825;12;845;26;;;687;106;107;42;
20802;Dolnoslaskie;m. K³odzko;21744;9397;64;4418;96;;;3499;518;447;355;
20803;Dolnoslaskie;m. Kudowa-Zdrój;8419;3867;35;1780;38;;;1529;180;178;127;
20804;Dolnoslaskie;m. Nowa Ruda;18016;6842;45;3256;115;;;2487;397;345;197;
20805;Dolnoslaskie;m. Polanica-Zdrój;5858;2873;15;1370;31;;;1083;170;98;106;
20806;Dolnoslaskie;gm. Bystrzyca K³odzka;15398;6013;48;2343;67;;;2851;282;240;182;
20807;Dolnoslaskie;gm. K³odzko;13516;4994;61;1625;49;;;2568;233;253;205;
20808;Dolnoslaskie;gm. L¹dek-Zdrój;7267;2885;32;1231;54;;;1187;156;124;101;
20809;Dolnoslaskie;gm. Lewin K³odzki;1601;604;0;247;11;;;265;26;37;18;
20810;Dolnoslaskie;gm. Miêdzylesie;5862;2188;34;800;35;;;984;141;115;79;
20811;Dolnoslaskie;gm. Nowa Ruda;9424;3466;26;1334;50;;;1563;226;149;118;
20812;Dolnoslaskie;gm. Radków;7302;2624;37;885;41;;;1317;119;130;95;
20813;Dolnoslaskie;gm. Stronie Œl¹skie;5995;2252;14;992;29;;;888;158;74;97;
20814;Dolnoslaskie;gm. Szczytna;5866;2193;31;884;28;;;908;114;136;92;
20901;Dolnoslaskie;m. Chojnów;10439;4162;31;1662;69;;;1834;235;198;133;
20902;Dolnoslaskie;gm. Chojnów;7555;2789;27;752;26;;;1624;123;142;95;
20903;Dolnoslaskie;gm. Krotoszyce;2598;1016;11;258;18;;;587;54;54;34;
20904;Dolnoslaskie;gm. Kunice;5220;2465;25;1044;12;;;992;156;113;123;
20905;Dolnoslaskie;gm. Legnickie Pole;3865;1630;26;474;22;;;891;76;80;61;
20906;Dolnoslaskie;gm. Mi³kowice;5219;2322;30;751;39;;;1110;160;112;120;
20907;Dolnoslaskie;gm. Prochowice;5894;2317;18;770;19;;;1181;127;95;107;
20908;Dolnoslaskie;gm. Ruja;2052;636;12;143;4;;;399;28;23;27;
21001;Dolnoslaskie;m. Lubañ;16717;6996;53;3338;98;;;2524;444;314;225;
21002;Dolnoslaskie;m. Œwieradów-Zdrój;3657;1693;12;771;23;;;619;126;72;70;
21003;Dolnoslaskie;gm. Leœna;7987;2931;32;1133;41;;;1268;200;147;110;
21004;Dolnoslaskie;gm. Lubañ;5183;1874;28;681;21;;;845;99;108;92;
21005;Dolnoslaskie;gm. Olszyna;5212;1895;17;807;15;;;803;93;91;69;
21006;Dolnoslaskie;gm. Platerówka;1305;516;4;146;5;;;300;19;25;17;
21007;Dolnoslaskie;gm. Siekierczyn;3976;1451;19;516;23;;;655;99;58;81;
21101;Dolnoslaskie;m. Lubin;56170;26207;176;9446;288;;;12162;1524;1325;1286;
21102;Dolnoslaskie;gm. Lubin;12298;5576;41;1949;59;;;2584;340;300;303;
21103;Dolnoslaskie;gm. Rudna;6119;2472;28;625;42;;;1375;119;135;148;
21104;Dolnoslaskie;gm. Œcinawa;7786;3116;28;749;39;;;1886;129;152;133;
21201;Dolnoslaskie;gm. Gryfów Œl¹ski;7838;2884;31;1175;54;;;1237;170;113;104;
21202;Dolnoslaskie;gm. Lubomierz;4872;1763;30;673;22;;;778;96;74;90;
21203;Dolnoslaskie;gm. Lwówek Œl¹ski;13734;5213;46;2171;71;;;2066;344;314;201;
21204;Dolnoslaskie;gm. Mirsk;6977;2395;34;850;24;;;1145;138;107;97;
21205;Dolnoslaskie;gm. Wleñ;3506;1339;25;527;22;;;568;86;62;49;
21301;Dolnoslaskie;gm. Cieszków;3755;1454;15;465;13;;;791;57;64;49;
21302;Dolnoslaskie;gm. Kroœnice;6378;2294;21;649;30;;;1333;97;90;74;
21303;Dolnoslaskie;gm. Milicz;19182;7489;70;2908;83;;;3479;397;324;228;
21401;Dolnoslaskie;m. Oleœnica;29146;13541;84;6032;184;;;4958;984;739;560;
21402;Dolnoslaskie;gm. Bierutów;7904;2787;28;967;26;;;1426;126;122;92;
21403;Dolnoslaskie;gm. Dobroszyce;5264;2072;21;698;34;;;1008;113;105;93;
21404;Dolnoslaskie;gm. Dziadowa K³oda;3584;1193;26;430;22;;;580;65;51;19;
21405;Dolnoslaskie;gm. Miêdzybórz;4026;1382;9;547;24;;;574;91;72;65;
21406;Dolnoslaskie;gm. Oleœnica;10444;3880;37;1481;39;;;1761;259;163;140;
21407;Dolnoslaskie;gm. Syców;13276;5377;55;2405;78;;;2012;326;278;223;
21408;Dolnoslaskie;gm. Twardogóra;10403;3988;71;1425;63;;;1897;222;174;136;
21501;Dolnoslaskie;m. O³awa;25407;12460;81;5576;163;;;4580;774;717;569;
21502;Dolnoslaskie;gm. Domaniów;4157;1565;16;410;21;;;862;97;97;62;
21503;Dolnoslaskie;gm. Jelcz-Laskowice;17918;8146;52;2986;77;;;3789;511;411;320;
21504;Dolnoslaskie;gm. O³awa;11869;5327;46;1785;52;;;2625;295;296;228;
21601;Dolnoslaskie;gm. Chocianów;10024;4154;43;952;66;;;2486;161;264;182;
21602;Dolnoslaskie;gm. Gaworzyce;3082;1310;26;325;19;;;746;77;63;54;
21603;Dolnoslaskie;gm. Grêbocice;4178;1604;26;400;25;;;942;57;96;58;
21604;Dolnoslaskie;gm. Polkowice;20545;8413;73;2718;110;;;4180;551;405;376;
21605;Dolnoslaskie;gm. Przemków;6659;2444;32;643;42;;;1389;112;119;107;
21606;Dolnoslaskie;gm. Radwanice;3728;1456;19;432;23;;;763;82;49;88;
21701;Dolnoslaskie;gm. Borów;4316;1820;24;444;13;;;1086;77;87;89;
21702;Dolnoslaskie;gm. Kondratowice;3527;1280;12;347;11;;;751;57;54;48;
21703;Dolnoslaskie;gm. Przeworno;3927;1435;15;425;19;;;821;42;56;57;
21704;Dolnoslaskie;gm. Strzelin;18129;7848;69;3167;103;;;3386;424;370;329;
21705;Dolnoslaskie;gm. Wi¹zów;5829;2272;24;575;26;;;1359;85;119;84;
21801;Dolnoslaskie;gm. Kostom³oty;5710;2099;22;559;26;;;1201;104;99;88;
21802;Dolnoslaskie;gm. Malczyce;4677;1619;13;520;10;;;879;72;66;59;
21803;Dolnoslaskie;gm. Miêkinia;12344;5641;35;2420;84;;;2026;471;343;262;
21804;Dolnoslaskie;gm. Œroda Œl¹ska;15507;6258;56;2548;60;;;2723;317;300;254;
21805;Dolnoslaskie;gm. Udanin;4262;1635;15;392;13;;;1049;63;42;61;
21901;Dolnoslaskie;m. Œwidnica;45110;21995;149;10097;261;;;7232;2291;1066;899;
21902;Dolnoslaskie;m. Œwiebodzice;17780;7999;56;3638;133;;;2877;604;379;312;
21903;Dolnoslaskie;gm. Dobromierz;4212;1535;13;480;19;;;825;87;54;57;
21904;Dolnoslaskie;gm. Jaworzyna Œl¹ska;8245;3081;27;1017;61;;;1418;212;189;157;
21905;Dolnoslaskie;gm. Marcinowice;5149;2041;20;606;23;;;1110;124;80;78;
21906;Dolnoslaskie;gm. Strzegom;20715;8289;91;2897;95;;;3874;572;453;307;
21907;Dolnoslaskie;gm. Œwidnica;13598;5803;46;2131;62;;;2465;543;271;285;
21908;Dolnoslaskie;gm. ¯arów;9985;3967;37;1427;63;;;1773;285;191;191;
22001;Dolnoslaskie;gm. Oborniki Œl¹skie;15924;7879;60;3433;91;;;3018;541;442;294;
22002;Dolnoslaskie;gm. Prusice;7532;2713;34;773;43;;;1527;105;132;99;
22003;Dolnoslaskie;gm. Trzebnica;18570;8570;68;3350;99;;;3720;516;493;324;
22004;Dolnoslaskie;gm. Wisznia Ma³a;8118;4173;23;1761;29;;;1735;287;195;143;
22005;Dolnoslaskie;gm. Zawonia;4705;1795;26;622;22;;;805;126;108;86;
22006;Dolnoslaskie;gm. ¯migród;11668;4177;42;1538;55;;;1920;232;212;178;
22101;Dolnoslaskie;m. Boguszów-Gorce;12087;4091;40;1908;61;;;1425;343;164;150;
22102;Dolnoslaskie;m. Jedlina-Zdrój;3798;1593;22;741;28;;;526;160;62;54;
22103;Dolnoslaskie;m. Szczawno-Zdrój;4768;2555;16;1364;21;;;740;257;75;82;
22104;Dolnoslaskie;gm. Czarny Bór;3863;1608;18;561;27;;;741;111;84;66;
22105;Dolnoslaskie;gm. G³uszyca;6997;2658;32;1206;23;;;950;217;136;94;
22106;Dolnoslaskie;gm. Mieroszów;5393;2053;15;969;38;;;714;159;91;67;
22107;Dolnoslaskie;gm. Stare Bogaczowice;3380;1504;20;597;23;;;612;123;63;66;
22108;Dolnoslaskie;gm. Walim;4480;1759;19;750;18;;;718;128;72;54;
22201;Dolnoslaskie;gm. Brzeg Dolny;12733;5310;62;2267;72;;;2061;359;332;157;
22202;Dolnoslaskie;gm. Wiñsko;6833;2402;26;527;26;;;1562;93;92;76;
22203;Dolnoslaskie;gm. Wo³ów;19021;7522;76;2853;96;;;3413;403;396;285;
22301;Dolnoslaskie;gm. Czernica;11666;6715;41;3199;75;;;2193;528;414;265;
22302;Dolnoslaskie;gm. D³ugo³êka;24683;12797;66;5642;139;;;4615;1047;708;580;
22303;Dolnoslaskie;gm. Jordanów Œl¹ski;2570;1099;8;330;17;;;568;73;61;42;
22304;Dolnoslaskie;gm. K¹ty Wroc³awskie;18206;9063;45;3996;105;;;3312;658;476;471;
22305;Dolnoslaskie;gm. Kobierzyce;15037;7724;34;3909;109;;;2215;675;422;360;
22306;Dolnoslaskie;gm. Mietków;3151;1288;11;461;14;;;600;73;58;71;
22307;Dolnoslaskie;gm. Sobótka;10213;4319;34;1625;63;;;1895;277;264;161;
22308;Dolnoslaskie;gm. Siechnice;16421;8892;35;4109;92;;;2855;780;596;425;
22309;Dolnoslaskie;gm. ¯órawina;8409;4060;26;1774;48;;;1486;319;240;167;
22401;Dolnoslaskie;gm. Bardo;4297;1695;19;628;29;;;756;116;50;97;
22402;Dolnoslaskie;gm. Ciep³owody;2528;840;8;251;6;;;470;29;41;35;
22403;Dolnoslaskie;gm. Kamieniec Z¹bkowicki;6701;2546;38;871;38;;;1219;164;93;123;
22404;Dolnoslaskie;gm. Stoszowice;4356;1555;11;532;22;;;807;66;58;59;
22405;Dolnoslaskie;gm. Z¹bkowice Œl¹skie;17567;7301;48;3194;76;;;3170;284;259;270;
22406;Dolnoslaskie;gm. Ziêbice;13818;5084;61;1764;65;;;2595;239;174;186;
22407;Dolnoslaskie;gm. Z³oty Stok;3696;1457;10;538;19;;;701;76;57;56;
22501;Dolnoslaskie;m. Zawidów;3326;1279;16;519;8;;;529;79;64;64;
22502;Dolnoslaskie;m. Zgorzelec;24674;11105;81;5157;141;;;3943;615;408;760;
22503;Dolnoslaskie;gm. Bogatynia;18449;6588;58;2584;93;;;2750;427;368;308;
22504;Dolnoslaskie;gm. Pieñsk;7050;2358;46;817;37;;;1048;165;109;136;
22505;Dolnoslaskie;gm. Sulików;4783;1824;20;536;18;;;963;71;90;126;
22506;Dolnoslaskie;gm. Wêgliniec;6742;2337;36;861;34;;;1036;150;110;110;
22507;Dolnoslaskie;gm. Zgorzelec;6728;2624;25;933;35;;;1171;134;108;218;
22601;Dolnoslaskie;m. Wojcieszów;2962;1063;14;479;25;;;394;70;35;46;
22602;Dolnoslaskie;m. Z³otoryja;12479;5422;42;2545;60;;;2000;346;221;208;
22603;Dolnoslaskie;gm. Pielgrzymka;3672;1252;20;415;12;;;632;79;50;44;
22604;Dolnoslaskie;gm. Œwierzawa;6059;2064;30;848;25;;;858;117;103;83;
22605;Dolnoslaskie;gm. Zagrodno;4257;1571;25;380;21;;;986;47;63;49;
22606;Dolnoslaskie;gm. Z³otoryja;5557;2085;19;750;34;;;1000;107;86;89;
26101;Dolnoslaskie;m. Jelenia Góra;62671;30084;217;15844;383;;;9052;2349;1338;901;
26201;Dolnoslaskie;m. Legnica;75449;33381;189;14276;456;;;13315;2442;1505;1198;
26401;Dolnoslaskie;m. Wroc³aw;485846;272456;1276;136307;4201;;;80244;24248;15842;10338;
26501;Dolnoslaskie;m. Wa³brzych;85857;36062;220;18437;512;;;11440;2808;1298;1347;
40101;Kujawsko-Pomorskie;m. Aleksandrów Kujawski;9739;3796;18;1737;47;;;1430;275;142;147;
40102;Kujawsko-Pomorskie;m. Ciechocinek;10185;6049;30;2892;66;;;2387;297;172;205;
40103;Kujawsko-Pomorskie;m. Nieszawa;1580;643;12;255;6;;;267;27;30;46;
40104;Kujawsko-Pomorskie;gm. Aleksandrów Kujawski;9119;3177;65;1050;35;;;1591;162;129;145;
40105;Kujawsko-Pomorskie;gm. B¹dkowo;3487;1212;18;371;16;;;660;55;44;48;
40106;Kujawsko-Pomorskie;gm. Koneck;2655;800;11;188;9;;;509;35;26;22;
40107;Kujawsko-Pomorskie;gm. Raci¹¿ek;2615;992;12;309;12;;;499;48;45;67;
40108;Kujawsko-Pomorskie;gm. Waganiec;3661;1274;24;291;15;;;809;47;35;53;
40109;Kujawsko-Pomorskie;gm. Zakrzewo;2874;943;22;297;10;;;513;53;14;34;
40201;Kujawsko-Pomorskie;m. Brodnica;21623;9308;63;3752;80;;;3203;414;216;1580;
40202;Kujawsko-Pomorskie;gm. Bobrowo;5090;1793;22;413;22;;;932;75;37;292;
40203;Kujawsko-Pomorskie;gm. Brodnica;6379;2344;22;718;10;;;940;103;43;508;
40204;Kujawsko-Pomorskie;gm. Brzozie;2940;1151;31;235;5;;;648;18;30;184;
40205;Kujawsko-Pomorskie;gm. Górzno;3166;1125;11;264;13;;;636;34;26;141;
40206;Kujawsko-Pomorskie;gm. Bartniczka;3622;1296;17;293;9;;;749;18;21;189;
40207;Kujawsko-Pomorskie;gm. Jab³onowo Pomorskie;7063;2294;28;605;31;;;1228;77;61;264;
40208;Kujawsko-Pomorskie;gm. Osiek;3154;1026;21;209;15;;;555;25;32;169;
40209;Kujawsko-Pomorskie;gm. Œwiedziebnia;4110;1297;14;327;15;;;762;30;27;122;
40210;Kujawsko-Pomorskie;gm. Zbiczno;3905;1482;18;477;9;;;600;65;31;282;
40301;Kujawsko-Pomorskie;gm. Bia³e B³ota;16038;8166;47;4379;51;;;2330;662;403;294;
40302;Kujawsko-Pomorskie;gm. D¹browa Che³miñska;6428;2415;21;976;27;;;988;159;158;86;
40303;Kujawsko-Pomorskie;gm. Dobrcz;8938;3764;35;1639;45;;;1468;248;181;148;
40304;Kujawsko-Pomorskie;gm. Koronowo;18975;6864;84;2980;69;;;2842;371;269;249;
40305;Kujawsko-Pomorskie;gm. Nowa Wieœ Wielka;7795;3197;24;1553;23;;;1106;242;134;115;
40306;Kujawsko-Pomorskie;gm. Osielsko;10550;6319;29;3746;69;;;1509;460;274;232;
40307;Kujawsko-Pomorskie;gm. Sicienko;7974;3314;34;1576;40;;;1164;178;203;119;
40308;Kujawsko-Pomorskie;gm. Solec Kujawski;12599;5648;69;2791;84;;;1818;361;309;216;
40401;Kujawsko-Pomorskie;m. Che³mno;14644;6150;48;3045;83;;;2057;421;219;277;
40402;Kujawsko-Pomorskie;gm. Che³mno;4583;1379;12;522;10;;;582;102;77;74;
40403;Kujawsko-Pomorskie;gm. Kijewo Królewskie;3504;1297;16;452;19;;;615;71;54;70;
40404;Kujawsko-Pomorskie;gm. Lisewo;3982;1314;13;394;21;;;698;76;51;61;
40405;Kujawsko-Pomorskie;gm. Papowo Biskupie;3387;1024;17;332;8;;;524;38;24;81;
40406;Kujawsko-Pomorskie;gm. Stolno;4054;1424;13;481;25;;;685;77;62;81;
40407;Kujawsko-Pomorskie;gm. Unis³aw;5308;1947;29;692;29;;;890;135;76;96;
40501;Kujawsko-Pomorskie;m. Golub-Dobrzyñ;9588;3623;34;1392;46;;;1581;187;126;257;
40502;Kujawsko-Pomorskie;gm. Ciechocin;3237;1165;19;302;16;;;686;57;39;46;
40503;Kujawsko-Pomorskie;gm. Golub-Dobrzyñ;7084;2441;22;763;34;;;1294;108;58;162;
40504;Kujawsko-Pomorskie;gm. Kowalewo Pomorskie;8988;3214;36;1152;40;;;1511;181;122;172;
40505;Kujawsko-Pomorskie;gm. Radomin;3280;1208;17;234;14;;;763;51;35;94;
40506;Kujawsko-Pomorskie;gm. Zbójno;3503;1022;5;259;14;;;608;48;24;64;
40601;Kujawsko-Pomorskie;gm. Grudzi¹dz;9564;3630;23;1567;35;;;1458;238;137;172;
40602;Kujawsko-Pomorskie;gm. Gruta;5126;1623;13;487;21;;;896;69;65;72;
40603;Kujawsko-Pomorskie;gm. £asin;6193;1928;25;667;30;;;992;80;67;67;
40604;Kujawsko-Pomorskie;gm. Radzyñ Che³miñski;3702;1026;14;276;21;;;551;53;35;76;
40605;Kujawsko-Pomorskie;gm. RogóŸno;3211;1022;8;309;11;;;554;62;38;40;
40606;Kujawsko-Pomorskie;gm. Œwiecie nad Os¹;3327;862;12;175;14;;;548;31;27;55;
40701;Kujawsko-Pomorskie;m. Inowroc³aw;58805;27405;188;15862;234;;;8529;1292;734;566;
40702;Kujawsko-Pomorskie;gm. D¹browa Biskupia;4027;1321;23;432;13;;;722;50;36;45;
40703;Kujawsko-Pomorskie;gm. Gniewkowo;11200;3993;49;1677;37;;;1712;189;169;160;
40704;Kujawsko-Pomorskie;gm. Inowroc³aw;9388;3638;31;1615;34;;;1575;152;111;120;
40705;Kujawsko-Pomorskie;gm. Janikowo;10565;3860;43;1692;36;;;1609;186;176;118;
40706;Kujawsko-Pomorskie;gm. Kruszwica;15430;5685;74;2374;44;;;2675;202;173;143;
40707;Kujawsko-Pomorskie;gm. Pakoœæ;7787;2841;27;1249;37;;;1231;109;106;82;
40708;Kujawsko-Pomorskie;gm. Rojewo;3680;1288;19;417;11;;;718;42;46;35;
40709;Kujawsko-Pomorskie;gm. Z³otniki Kujawskie;7247;2740;41;1113;20;;;1231;154;94;87;
40801;Kujawsko-Pomorskie;m. Lipno;11170;4140;44;1940;34;;;1651;224;119;128;
40802;Kujawsko-Pomorskie;gm. Bobrowniki;2472;871;13;368;7;;;406;34;22;21;
40803;Kujawsko-Pomorskie;gm. Chrostkowo;2397;699;7;183;3;;;449;12;22;23;
40804;Kujawsko-Pomorskie;gm. Dobrzyñ nad Wis³¹;6212;2025;34;612;27;;;1189;50;56;57;
40805;Kujawsko-Pomorskie;gm. Kikó³;5640;1694;24;568;16;;;892;83;34;77;
40806;Kujawsko-Pomorskie;gm. Lipno;9239;2847;44;1095;24;;;1421;115;70;78;
40807;Kujawsko-Pomorskie;gm. Skêpe;6033;2101;16;777;19;;;1084;77;58;70;
40808;Kujawsko-Pomorskie;gm. T³uchowo;3659;1225;8;349;15;;;779;25;23;26;
40809;Kujawsko-Pomorskie;gm. Wielgie;5246;1686;35;624;20;;;819;73;53;62;
40901;Kujawsko-Pomorskie;gm. D¹browa;3685;1225;15;450;16;;;615;57;39;33;
40902;Kujawsko-Pomorskie;gm. Jeziora Wielkie;3877;1275;20;429;8;;;697;52;32;37;
40903;Kujawsko-Pomorskie;gm. Mogilno;19818;7576;75;3242;82;;;3157;416;322;282;
40904;Kujawsko-Pomorskie;gm. Strzelno;9471;3321;47;1368;35;;;1484;169;122;96;
41001;Kujawsko-Pomorskie;gm. Kcynia;10417;3788;47;1590;45;;;1770;139;102;95;
41002;Kujawsko-Pomorskie;gm. Mrocza;7052;2511;44;974;35;;;1137;96;61;164;
41003;Kujawsko-Pomorskie;gm. Nak³o nad Noteci¹;25095;10299;106;4940;110;;;3914;563;364;302;
41004;Kujawsko-Pomorskie;gm. Sadki;5632;1993;23;768;25;;;979;100;40;58;
41005;Kujawsko-Pomorskie;gm. Szubin;18825;7603;65;3733;83;;;2814;348;298;262;
41101;Kujawsko-Pomorskie;m. Radziejów;4648;1935;19;814;15;;;871;103;42;71;
41102;Kujawsko-Pomorskie;gm. Bytoñ;2927;1016;11;231;7;;;677;29;32;29;
41103;Kujawsko-Pomorskie;gm. Dobre;4395;1369;22;373;17;;;815;51;45;46;
41104;Kujawsko-Pomorskie;gm. Osiêciny;6360;2148;30;579;34;;;1260;123;57;65;
41105;Kujawsko-Pomorskie;gm. Piotrków Kujawski;7635;2483;30;662;32;;;1491;125;73;70;
41106;Kujawsko-Pomorskie;gm. Radziejów;3608;1210;15;353;11;;;687;46;44;54;
41107;Kujawsko-Pomorskie;gm. Topólka;4071;1400;25;418;24;;;793;69;23;48;
41201;Kujawsko-Pomorskie;m. Rypin;12734;5003;41;2200;51;;;2095;278;153;185;
41202;Kujawsko-Pomorskie;gm. Brzuze;4251;1335;16;383;21;;;742;53;42;78;
41203;Kujawsko-Pomorskie;gm. Rogowo;3813;1202;13;277;11;;;767;53;40;41;
41204;Kujawsko-Pomorskie;gm. Rypin;5901;1746;14;502;14;;;937;93;58;128;
41205;Kujawsko-Pomorskie;gm. Skrwilno;4713;1559;6;317;14;;;1063;54;35;70;
41206;Kujawsko-Pomorskie;gm. W¹pielsk;3240;957;9;235;14;;;552;47;23;77;
41301;Kujawsko-Pomorskie;gm. Kamieñ Krajeñski;5392;1777;18;604;33;;;826;119;73;104;
41302;Kujawsko-Pomorskie;gm. Sêpólno Krajeñskie;12308;4762;43;2049;66;;;1913;285;179;227;
41303;Kujawsko-Pomorskie;gm. Soœno;3921;1216;23;405;16;;;635;42;37;58;
41304;Kujawsko-Pomorskie;gm. Wiêcbork;10299;3681;57;1327;54;;;1753;232;125;133;
41401;Kujawsko-Pomorskie;gm. Bukowiec;3934;1309;18;392;17;;;746;49;44;43;
41402;Kujawsko-Pomorskie;gm. Dragacz;5518;1896;21;828;20;;;755;115;61;96;
41403;Kujawsko-Pomorskie;gm. Drzycim;3906;1333;11;378;5;;;723;88;48;80;
41404;Kujawsko-Pomorskie;gm. Je¿ewo;6203;2200;40;716;31;;;1074;120;115;104;
41405;Kujawsko-Pomorskie;gm. Lniano;3319;1218;24;375;9;;;651;63;54;42;
41406;Kujawsko-Pomorskie;gm. Nowe;7977;2554;31;1087;40;;;1079;116;119;82;
41407;Kujawsko-Pomorskie;gm. Osie;4365;1496;20;634;14;;;621;89;62;56;
41408;Kujawsko-Pomorskie;gm. Pruszcz;7401;2894;46;1145;35;;;1301;139;116;112;
41409;Kujawsko-Pomorskie;gm. Œwiecie;25558;10068;102;4921;129;;;3526;689;373;328;
41410;Kujawsko-Pomorskie;gm. Œwiekatowo;2860;1062;24;367;13;;;506;64;44;44;
41411;Kujawsko-Pomorskie;gm. Warlubie;4988;1535;26;552;16;;;764;79;40;58;
41501;Kujawsko-Pomorskie;m. Che³m¿a;10939;4031;37;1834;54;;;1532;257;180;137;
41502;Kujawsko-Pomorskie;gm. Che³m¿a;7684;2516;40;809;29;;;1291;118;123;106;
41503;Kujawsko-Pomorskie;gm. Czernikowo;7096;2034;20;762;27;;;972;111;79;63;
41504;Kujawsko-Pomorskie;gm. Lubicz;15053;6712;48;2874;81;;;2710;431;279;289;
41505;Kujawsko-Pomorskie;gm. £ubianka;5419;2326;26;869;37;;;1031;150;101;112;
41506;Kujawsko-Pomorskie;gm. £ysomice;7765;3229;13;1554;37;;;1159;189;158;119;
41507;Kujawsko-Pomorskie;gm. Obrowo;12689;5413;48;2277;64;;;2248;339;199;238;
41508;Kujawsko-Pomorskie;gm. Wielka Nieszawka;3829;1768;10;864;17;;;579;140;81;77;
41509;Kujawsko-Pomorskie;gm. Z³awieœ Wielka;10600;4401;34;1996;58;;;1613;314;171;215;
41601;Kujawsko-Pomorskie;gm. Cekcyn;5315;2037;32;681;21;;;1046;85;89;83;
41602;Kujawsko-Pomorskie;gm. Gostycyn;4072;1497;30;478;14;;;782;69;74;50;
41603;Kujawsko-Pomorskie;gm. Kêsowo;3512;1297;34;333;18;;;755;55;52;50;
